[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Monochromator used,NO
Generator voltage, 10
Tube current, 10
File date and time,21-May-2024 10:14
Unit cell,
h k l, 0 0 0
Scan axis,2Theta-Omega
Scan range,20.0100,139.9900
Scan step size,0.0200000
Omega offset,0.0000
No. of points, 5999
Scan type,CONTINUOUS
Time per step,0.50
[Scan points]
Angle,Intensity
20.0200,4.0
20.0400,5.0
20.0600,2.0
20.0800,4.0
20.1000,5.0
20.1200,4.0
20.1400,4.0
20.1600,6.0
20.1800,5.0
20.2000,4.0
20.2200,5.0
20.2400,3.0
20.2600,6.0
20.2800,3.0
20.3000,6.0
20.3200,4.0
20.3400,6.0
20.3600,7.0
20.3800,6.0
20.4000,1.0
20.4200,5.0
20.4400,7.0
20.4600,4.0
20.4800,3.0
20.5000,6.0
20.5200,6.0
20.5400,11.0
20.5600,7.0
20.5800,5.0
20.6000,7.0
20.6200,4.0
20.6400,5.0
20.6600,9.0
20.6800,9.0
20.7000,3.0
20.7200,7.0
20.7400,8.0
20.7600,4.0
20.7800,8.0
20.8000,6.0
20.8200,7.0
20.8400,3.0
20.8600,10.0
20.8800,4.0
20.9000,6.0
20.9200,2.0
20.9400,6.0
20.9600,6.0
20.9800,4.0
21.0000,2.0
21.0200,5.0
21.0400,10.0
21.0600,5.0
21.0800,8.0
21.1000,4.0
21.1200,6.0
21.1400,6.0
21.1600,5.0
21.1800,9.0
21.2000,2.0
21.2200,8.0
21.2400,4.0
21.2600,7.0
21.2800,4.0
21.3000,6.0
21.3200,2.0
21.3400,5.0
21.3600,10.0
21.3800,5.0
21.4000,6.0
21.4200,5.0
21.4400,10.0
21.4600,5.0
21.4800,4.0
21.5000,7.0
21.5200,6.0
21.5400,6.0
21.5600,8.0
21.5800,2.0
21.6000,12.0
21.6200,5.0
21.6400,5.0
21.6600,4.0
21.6800,0.0
21.7000,7.0
21.7200,6.0
21.7400,2.0
21.7600,11.0
21.7800,8.0
21.8000,4.0
21.8200,6.0
21.8400,6.0
21.8600,6.0
21.8800,9.0
21.9000,5.0
21.9200,8.0
21.9400,5.0
21.9600,8.0
21.9800,12.0
22.0000,5.0
22.0200,7.0
22.0400,5.0
22.0600,7.0
22.0800,6.0
22.1000,5.0
22.1200,7.0
22.1400,9.0
22.1600,2.0
22.1800,7.0
22.2000,12.0
22.2200,7.0
22.2400,11.0
22.2600,7.0
22.2800,5.0
22.3000,5.0
22.3200,8.0
22.3400,5.0
22.3600,3.0
22.3800,10.0
22.4000,3.0
22.4200,9.0
22.4400,6.0
22.4600,14.0
22.4800,9.0
22.5000,8.0
22.5200,7.0
22.5400,7.0
22.5600,11.0
22.5800,7.0
22.6000,13.0
22.6200,10.0
22.6400,11.0
22.6600,7.0
22.6800,12.0
22.7000,11.0
22.7200,7.0
22.7400,13.0
22.7600,10.0
22.7800,12.0
22.8000,19.0
22.8200,12.0
22.8400,17.0
22.8600,18.0
22.8800,21.0
22.9000,20.0
22.9200,34.0
22.9400,23.0
22.9600,19.0
22.9800,27.0
23.0000,26.0
23.0200,24.0
23.0400,21.0
23.0600,23.0
23.0800,24.0
23.1000,21.0
23.1200,32.0
23.1400,38.0
23.1600,29.0
23.1800,27.0
23.2000,24.0
23.2200,27.0
23.2400,26.0
23.2600,22.0
23.2800,31.0
23.3000,27.0
23.3200,31.0
23.3400,26.0
23.3600,35.0
23.3800,30.0
23.4000,34.0
23.4200,24.0
23.4400,23.0
23.4600,17.0
23.4800,22.0
23.5000,21.0
23.5200,22.0
23.5400,15.0
23.5600,24.0
23.5800,16.0
23.6000,12.0
23.6200,11.0
23.6400,11.0
23.6600,10.0
23.6800,6.0
23.7000,6.0
23.7200,8.0
23.7400,6.0
23.7600,4.0
23.7800,5.0
23.8000,5.0
23.8200,8.0
23.8400,8.0
23.8600,3.0
23.8800,3.0
23.9000,2.0
23.9200,7.0
23.9400,4.0
23.9600,7.0
23.9800,7.0
24.0000,5.0
24.0200,2.0
24.0400,5.0
24.0600,7.0
24.0800,9.0
24.1000,6.0
24.1200,6.0
24.1400,4.0
24.1600,5.0
24.1800,5.0
24.2000,8.0
24.2200,3.0
24.2400,7.0
24.2600,4.0
24.2800,4.0
24.3000,5.0
24.3200,5.0
24.3400,4.0
24.3600,11.0
24.3800,6.0
24.4000,5.0
24.4200,3.0
24.4400,5.0
24.4600,3.0
24.4800,2.0
24.5000,6.0
24.5200,6.0
24.5400,3.0
24.5600,5.0
24.5800,6.0
24.6000,4.0
24.6200,3.0
24.6400,5.0
24.6600,3.0
24.6800,5.0
24.7000,2.0
24.7200,2.0
24.7400,0.0
24.7600,3.0
24.7800,9.0
24.8000,8.0
24.8200,5.0
24.8400,4.0
24.8600,4.0
24.8800,6.0
24.9000,0.0
24.9200,1.0
24.9400,3.0
24.9600,9.0
24.9800,6.0
25.0000,2.0
25.0200,7.0
25.0400,3.0
25.0600,4.0
25.0800,4.0
25.1000,7.0
25.1200,10.0
25.1400,4.0
25.1600,3.0
25.1800,2.0
25.2000,4.0
25.2200,4.0
25.2400,9.0
25.2600,2.0
25.2800,2.0
25.3000,2.0
25.3200,5.0
25.3400,3.0
25.3600,5.0
25.3800,2.0
25.4000,1.0
25.4200,2.0
25.4400,3.0
25.4600,7.0
25.4800,3.0
25.5000,5.0
25.5200,2.0
25.5400,2.0
25.5600,6.0
25.5800,7.0
25.6000,5.0
25.6200,7.0
25.6400,8.0
25.6600,6.0
25.6800,8.0
25.7000,8.0
25.7200,3.0
25.7400,4.0
25.7600,2.0
25.7800,6.0
25.8000,9.0
25.8200,7.0
25.8400,8.0
25.8600,4.0
25.8800,3.0
25.9000,2.0
25.9200,5.0
25.9400,5.0
25.9600,5.0
25.9800,2.0
26.0000,4.0
26.0200,8.0
26.0400,2.0
26.0600,8.0
26.0800,13.0
26.1000,5.0
26.1200,9.0
26.1400,3.0
26.1600,3.0
26.1800,10.0
26.2000,6.0
26.2200,9.0
26.2400,6.0
26.2600,9.0
26.2800,6.0
26.3000,4.0
26.3200,7.0
26.3400,7.0
26.3600,4.0
26.3800,4.0
26.4000,5.0
26.4200,6.0
26.4400,4.0
26.4600,8.0
26.4800,5.0
26.5000,4.0
26.5200,7.0
26.5400,4.0
26.5600,9.0
26.5800,5.0
26.6000,4.0
26.6200,5.0
26.6400,4.0
26.6600,3.0
26.6800,3.0
26.7000,3.0
26.7200,9.0
26.7400,8.0
26.7600,5.0
26.7800,13.0
26.8000,11.0
26.8200,9.0
26.8400,12.0
26.8600,7.0
26.8800,6.0
26.9000,8.0
26.9200,7.0
26.9400,6.0
26.9600,2.0
26.9800,3.0
27.0000,5.0
27.0200,5.0
27.0400,9.0
27.0600,4.0
27.0800,5.0
27.1000,6.0
27.1200,17.0
27.1400,7.0
27.1600,2.0
27.1800,7.0
27.2000,12.0
27.2200,10.0
27.2400,13.0
27.2600,6.0
27.2800,6.0
27.3000,13.0
27.3200,6.0
27.3400,8.0
27.3600,6.0
27.3800,13.0
27.4000,9.0
27.4200,11.0
27.4400,9.0
27.4600,16.0
27.4800,3.0
27.5000,13.0
27.5200,12.0
27.5400,7.0
27.5600,7.0
27.5800,9.0
27.6000,15.0
27.6200,11.0
27.6400,8.0
27.6600,14.0
27.6800,9.0
27.7000,7.0
27.7200,23.0
27.7400,13.0
27.7600,15.0
27.7800,17.0
27.8000,13.0
27.8200,10.0
27.8400,20.0
27.8600,15.0
27.8800,22.0
27.9000,25.0
27.9200,18.0
