[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Monochromator used,NO
Generator voltage, 10
Tube current, 10
File date and time,21-May-2024 14:22
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,25.8100,30.7800
Scan step size,0.0100000
No. of points, 497
Scan type,CONTINUOUS
2Theta,56.590
Time per step,0.50
[Scan points]
Angle,Intensity
25.8150,12.0
25.8250,25.0
25.8350,14.0
25.8450,14.0
25.8550,12.0
25.8650,14.0
25.8750,20.0
25.8850,24.0
25.8950,14.0
25.9050,21.0
25.9150,16.0
25.9250,27.0
25.9350,12.0
25.9450,15.0
25.9550,19.0
25.9650,23.0
25.9750,14.0
25.9850,24.0
25.9950,21.0
26.0050,17.0
26.0150,17.0
26.0250,24.0
26.0350,17.0
26.0450,17.0
26.0550,19.0
26.0650,24.0
26.0750,19.0
26.0850,24.0
26.0950,22.0
26.1050,16.0
26.1150,23.0
26.1250,31.0
26.1350,18.0
26.1450,21.0
26.1550,16.0
26.1650,33.0
26.1750,25.0
26.1850,12.0
26.1950,34.0
26.2050,28.0
26.2150,22.0
26.2250,27.0
26.2350,23.0
26.2450,30.0
26.2550,24.0
26.2650,31.0
26.2750,29.0
26.2850,30.0
26.2950,25.0
26.3050,23.0
26.3150,35.0
26.3250,29.0
26.3350,24.0
26.3450,25.0
26.3550,30.0
26.3650,40.0
26.3750,36.0
26.3850,32.0
26.3950,23.0
26.4050,26.0
26.4150,35.0
26.4250,35.0
26.4350,36.0
26.4450,42.0
26.4550,34.0
26.4650,33.0
26.4750,38.0
26.4850,29.0
26.4950,29.0
26.5050,32.0
26.5150,48.0
26.5250,47.0
26.5350,51.0
26.5450,54.0
26.5550,47.0
26.5650,45.0
26.5750,68.0
26.5850,52.0
26.5950,39.0
26.6050,50.0
26.6150,67.0
26.6250,61.0
26.6350,49.0
26.6450,62.0
26.6550,70.0
26.6650,58.0
26.6750,46.0
26.6850,77.0
26.6950,69.0
26.7050,80.0
26.7150,78.0
26.7250,68.0
26.7350,84.0
26.7450,58.0
26.7550,89.0
26.7650,86.0
26.7750,82.0
26.7850,80.0
26.7950,109.0
26.8050,100.0
26.8150,116.0
26.8250,100.0
26.8350,131.0
26.8450,114.0
26.8550,95.0
26.8650,119.0
26.8750,129.0
26.8850,128.0
26.8950,128.0
26.9050,126.0
26.9150,139.0
26.9250,151.0
26.9350,147.0
26.9450,158.0
26.9550,171.0
26.9650,177.0
26.9750,165.0
26.9850,170.0
26.9950,162.0
27.0050,214.0
27.0150,242.0
27.0250,238.0
27.0350,232.0
27.0450,267.0
27.0550,248.0
27.0650,293.0
27.0750,284.0
27.0850,285.0
27.0950,319.0
27.1050,331.0
27.1150,318.0
27.1250,318.0
27.1350,380.0
27.1450,403.0
27.1550,435.0
27.1650,416.0
27.1750,482.0
27.1850,446.0
27.1950,511.0
27.2050,504.0
27.2150,537.0
27.2250,646.0
27.2350,643.0
27.2450,625.0
27.2550,660.0
27.2650,740.0
27.2750,792.0
27.2850,859.0
27.2950,892.0
27.3050,898.0
27.3150,1042.0
27.3250,1103.0
27.3350,1142.0
27.3450,1229.0
27.3550,1265.0
27.3650,1444.0
27.3750,1452.0
27.3850,1511.0
27.3950,1622.0
27.4050,1726.0
27.4150,1822.0
27.4250,1947.0
27.4350,2178.0
27.4450,2336.0
27.4550,2489.0
27.4650,2587.0
27.4750,2700.0
27.4850,2993.0
27.4950,3150.0
27.5050,3406.0
27.5150,3635.0
27.5250,3936.0
27.5350,4389.0
27.5450,4558.0
27.5550,4829.0
27.5650,5176.0
27.5750,5385.0
27.5850,5783.0
27.5950,6201.0
27.6050,6738.0
27.6150,6940.0
27.6250,7466.0
27.6350,7841.0
27.6450,8477.0
27.6550,8792.0
27.6650,9326.0
27.6750,9819.0
27.6850,10310.0
27.6950,10945.0
27.7050,11457.0
27.7150,11979.0
27.7250,12399.0
27.7350,13129.0
27.7450,13538.0
27.7550,14049.0
27.7650,14634.0
27.7750,15277.0
27.7850,15892.0
27.7950,16118.0
27.8050,17039.0
27.8150,17390.0
27.8250,17797.0
27.8350,18195.0
27.8450,18665.0
27.8550,19249.0
27.8650,19787.0
27.8750,20176.0
27.8850,20383.0
27.8950,20788.0
27.9050,20813.0
27.9150,21292.0
27.9250,21620.0
27.9350,21881.0
27.9450,22068.0
27.9550,21837.0
27.9650,21924.0
27.9750,21929.0
27.9850,22146.0
27.9950,21983.0
28.0050,21731.0
28.0150,21685.0
28.0250,21546.0
28.0350,21267.0
28.0450,20929.0
28.0550,20767.0
28.0650,20101.0
28.0750,20112.0
28.0850,19324.0
28.0950,19095.0
28.1050,18552.0
28.1150,18096.0
28.1250,17999.0
28.1350,17225.0
28.1450,16785.0
28.1550,16019.0
28.1650,15479.0
28.1750,15147.0
28.1850,14705.0
28.1950,14231.0
28.2050,13679.0
28.2150,12884.0
28.2250,12255.0
28.2350,11830.0
28.2450,11266.0
28.2550,10947.0
28.2650,10206.0
28.2750,9846.0
28.2850,9214.0
28.2950,9056.0
28.3050,8510.0
28.3150,8313.0
28.3250,7765.0
28.3350,7263.0
28.3450,6770.0
28.3550,6465.0
28.3650,6077.0
28.3750,5585.0
28.3850,5394.0
28.3950,5110.0
28.4050,4637.0
28.4150,4351.0
28.4250,4308.0
28.4350,4044.0
28.4450,3646.0
28.4550,3447.0
28.4650,3255.0
28.4750,3091.0
28.4850,2857.0
28.4950,2611.0
28.5050,2410.0
28.5150,2294.0
28.5250,2164.0
28.5350,2113.0
28.5450,1850.0
28.5550,1757.0
28.5650,1664.0
28.5750,1554.0
28.5850,1435.0
28.5950,1344.0
28.6050,1280.0
28.6150,1125.0
28.6250,1102.0
28.6350,992.0
28.6450,986.0
28.6550,935.0
28.6650,873.0
28.6750,779.0
28.6850,779.0
28.6950,781.0
28.7050,686.0
28.7150,651.0
28.7250,599.0
28.7350,578.0
28.7450,541.0
28.7550,538.0
28.7650,430.0
28.7750,520.0
28.7850,434.0
28.7950,379.0
28.8050,424.0
28.8150,364.0
28.8250,379.0
28.8350,357.0
28.8450,298.0
28.8550,304.0
28.8650,284.0
28.8750,293.0
28.8850,273.0
28.8950,251.0
28.9050,257.0
28.9150,249.0
28.9250,196.0
28.9350,225.0
28.9450,232.0
28.9550,219.0
28.9650,192.0
28.9750,182.0
28.9850,175.0
28.9950,166.0
29.0050,165.0
29.0150,176.0
29.0250,138.0
29.0350,135.0
29.0450,139.0
29.0550,137.0
29.0650,123.0
29.0750,106.0
29.0850,118.0
29.0950,112.0
29.1050,104.0
29.1150,101.0
29.1250,101.0
29.1350,90.0
29.1450,116.0
29.1550,99.0
29.1650,87.0
29.1750,88.0
29.1850,102.0
29.1950,86.0
29.2050,69.0
29.2150,83.0
29.2250,76.0
29.2350,80.0
29.2450,67.0
29.2550,74.0
29.2650,80.0
29.2750,80.0
29.2850,70.0
29.2950,68.0
29.3050,67.0
29.3150,69.0
29.3250,54.0
29.3350,55.0
29.3450,56.0
29.3550,59.0
29.3650,59.0
29.3750,48.0
29.3850,43.0
29.3950,44.0
29.4050,42.0
29.4150,41.0
29.4250,46.0
29.4350,41.0
29.4450,31.0
29.4550,36.0
29.4650,39.0
29.4750,43.0
29.4850,40.0
29.4950,41.0
29.5050,38.0
29.5150,34.0
29.5250,40.0
29.5350,32.0
29.5450,35.0
29.5550,30.0
29.5650,44.0
29.5750,36.0
29.5850,34.0
29.5950,24.0
29.6050,27.0
29.6150,33.0
29.6250,31.0
