[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Monochromator used,NO
Generator voltage, 10
Tube current, 10
File date and time,21-May-2024 14:17
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,59.8650,64.8350
Scan step size,0.0100000
No. of points, 497
Scan type,CONTINUOUS
2Theta,124.700
Time per step,0.50
[Scan points]
Angle,Intensity
59.8700,0.0
59.8800,4.0
59.8900,1.0
59.9000,0.0
59.9100,0.0
59.9200,0.0
59.9300,1.0
59.9400,3.0
59.9500,1.0
59.9600,1.0
59.9700,0.0
59.9800,1.0
59.9900,0.0
60.0000,2.0
60.0100,0.0
60.0200,2.0
60.0300,3.0
60.0400,3.0
60.0500,1.0
60.0600,2.0
60.0700,4.0
60.0800,0.0
60.0900,1.0
60.1000,0.0
60.1100,3.0
60.1200,0.0
60.1300,1.0
60.1400,1.0
60.1500,3.0
60.1600,1.0
60.1700,1.0
60.1800,0.0
60.1900,1.0
60.2000,3.0
60.2100,0.0
60.2200,0.0
60.2300,2.0
60.2400,0.0
60.2500,2.0
60.2600,2.0
60.2700,0.0
60.2800,1.0
60.2900,3.0
60.3000,0.0
60.3100,0.0
60.3200,2.0
60.3300,1.0
60.3400,1.0
60.3500,2.0
60.3600,3.0
60.3700,1.0
60.3800,2.0
60.3900,2.0
60.4000,3.0
60.4100,1.0
60.4200,2.0
60.4300,2.0
60.4400,1.0
60.4500,1.0
60.4600,0.0
60.4700,1.0
60.4800,3.0
60.4900,1.0
60.5000,1.0
60.5100,2.0
60.5200,2.0
60.5300,0.0
60.5400,2.0
60.5500,0.0
60.5600,2.0
60.5700,1.0
60.5800,2.0
60.5900,2.0
60.6000,1.0
60.6100,0.0
60.6200,0.0
60.6300,1.0
60.6400,2.0
60.6500,0.0
60.6600,1.0
60.6700,1.0
60.6800,2.0
60.6900,1.0
60.7000,2.0
60.7100,4.0
60.7200,1.0
60.7300,1.0
60.7400,1.0
60.7500,2.0
60.7600,3.0
60.7700,2.0
60.7800,1.0
60.7900,2.0
60.8000,1.0
60.8100,1.0
60.8200,1.0
60.8300,1.0
60.8400,1.0
60.8500,1.0
60.8600,3.0
60.8700,2.0
60.8800,2.0
60.8900,2.0
60.9000,3.0
60.9100,3.0
60.9200,0.0
60.9300,3.0
60.9400,1.0
60.9500,1.0
60.9600,3.0
60.9700,4.0
60.9800,3.0
60.9900,4.0
61.0000,0.0
61.0100,1.0
61.0200,6.0
61.0300,3.0
61.0400,4.0
61.0500,3.0
61.0600,2.0
61.0700,2.0
61.0800,2.0
61.0900,0.0
61.1000,1.0
61.1100,2.0
61.1200,2.0
61.1300,2.0
61.1400,0.0
61.1500,2.0
61.1600,2.0
61.1700,1.0
61.1800,2.0
61.1900,2.0
61.2000,1.0
61.2100,2.0
61.2200,4.0
61.2300,5.0
61.2400,3.0
61.2500,3.0
61.2600,2.0
61.2700,2.0
61.2800,3.0
61.2900,5.0
61.3000,6.0
61.3100,5.0
61.3200,2.0
61.3300,5.0
61.3400,4.0
61.3500,2.0
61.3600,9.0
61.3700,3.0
61.3800,2.0
61.3900,6.0
61.4000,5.0
61.4100,5.0
61.4200,11.0
61.4300,8.0
61.4400,9.0
61.4500,8.0
61.4600,16.0
61.4700,18.0
61.4800,13.0
61.4900,24.0
61.5000,21.0
61.5100,22.0
61.5200,27.0
61.5300,28.0
61.5400,38.0
61.5500,35.0
61.5600,50.0
61.5700,43.0
61.5800,41.0
61.5900,46.0
61.6000,40.0
61.6100,53.0
61.6200,39.0
61.6300,58.0
61.6400,50.0
61.6500,41.0
61.6600,36.0
61.6700,39.0
61.6800,43.0
61.6900,43.0
61.7000,29.0
61.7100,36.0
61.7200,35.0
61.7300,40.0
61.7400,35.0
61.7500,42.0
61.7600,23.0
61.7700,21.0
61.7800,22.0
61.7900,20.0
61.8000,31.0
61.8100,22.0
61.8200,22.0
61.8300,23.0
61.8400,19.0
61.8500,12.0
61.8600,16.0
61.8700,18.0
61.8800,23.0
61.8900,17.0
61.9000,15.0
61.9100,14.0
61.9200,18.0
61.9300,17.0
61.9400,11.0
61.9500,19.0
61.9600,24.0
61.9700,22.0
61.9800,23.0
61.9900,27.0
62.0000,23.0
62.0100,27.0
62.0200,41.0
62.0300,41.0
62.0400,53.0
62.0500,101.0
62.0600,219.0
62.0700,387.0
62.0800,517.0
62.0900,748.0
62.1000,1000.0
62.1100,1287.0
62.1200,1661.0
62.1300,2237.0
62.1400,3048.0
62.1500,4164.0
62.1600,5727.0
62.1700,7802.0
62.1800,10286.0
62.1900,13137.0
62.2000,15883.0
62.2100,18375.0
62.2200,21079.0
62.2300,23361.0
62.2400,25530.0
62.2500,27691.0
62.2600,29628.0
62.2700,31878.0
62.2800,33634.0
62.2900,35014.0
62.3000,36281.0
62.3100,37147.0
62.3200,37741.0
62.3300,37981.0
62.3400,37869.0
62.3500,38348.0
62.3600,38321.0
62.3700,37357.0
62.3800,37083.0
62.3900,36358.0
62.4000,35742.0
62.4100,35083.0
62.4200,34625.0
62.4300,33644.0
62.4400,32258.0
62.4500,30907.0
62.4600,29611.0
62.4700,27727.0
62.4800,25808.0
62.4900,23981.0
62.5000,22127.0
62.5100,19746.0
62.5200,17228.0
62.5300,15247.0
62.5400,12981.0
62.5500,11123.0
62.5600,9602.0
62.5700,8180.0
62.5800,6840.0
62.5900,5568.0
62.6000,4365.0
62.6100,3348.0
62.6200,2473.0
62.6300,1809.0
62.6400,1193.0
62.6500,826.0
62.6600,589.0
62.6700,426.0
62.6800,309.0
62.6900,238.0
62.7000,167.0
62.7100,130.0
62.7200,90.0
62.7300,47.0
62.7400,43.0
62.7500,17.0
62.7600,10.0
62.7700,17.0
62.7800,12.0
62.7900,14.0
62.8000,13.0
62.8100,12.0
62.8200,7.0
62.8300,7.0
62.8400,7.0
62.8500,7.0
62.8600,8.0
62.8700,6.0
62.8800,3.0
62.8900,12.0
62.9000,7.0
62.9100,8.0
62.9200,9.0
62.9300,8.0
62.9400,8.0
62.9500,10.0
62.9600,7.0
62.9700,6.0
62.9800,6.0
62.9900,5.0
63.0000,3.0
63.0100,3.0
63.0200,6.0
63.0300,7.0
63.0400,7.0
63.0500,4.0
63.0600,4.0
63.0700,6.0
63.0800,2.0
63.0900,5.0
63.1000,6.0
63.1100,3.0
63.1200,5.0
63.1300,2.0
63.1400,7.0
63.1500,4.0
63.1600,5.0
63.1700,4.0
63.1800,3.0
63.1900,6.0
63.2000,2.0
63.2100,7.0
63.2200,6.0
63.2300,4.0
63.2400,6.0
63.2500,6.0
63.2600,4.0
63.2700,2.0
63.2800,4.0
63.2900,6.0
63.3000,6.0
63.3100,7.0
63.3200,4.0
63.3300,6.0
63.3400,3.0
63.3500,5.0
63.3600,1.0
63.3700,5.0
63.3800,1.0
63.3900,2.0
63.4000,3.0
63.4100,2.0
63.4200,4.0
63.4300,2.0
63.4400,2.0
63.4500,4.0
63.4600,0.0
63.4700,2.0
63.4800,5.0
63.4900,6.0
63.5000,1.0
63.5100,4.0
63.5200,4.0
63.5300,3.0
63.5400,6.0
63.5500,5.0
63.5600,2.0
63.5700,1.0
63.5800,5.0
63.5900,2.0
63.6000,1.0
63.6100,3.0
63.6200,0.0
63.6300,1.0
63.6400,0.0
63.6500,0.0
63.6600,3.0
63.6700,6.0
63.6800,3.0
63.6900,2.0
63.7000,1.0
63.7100,2.0
63.7200,2.0
63.7300,5.0
63.7400,0.0
63.7500,4.0
63.7600,2.0
63.7700,1.0
