[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Monochromator used,NO
Generator voltage, 10
Tube current, 10
File date and time,21-May-2024 12:27
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,60.1550,65.1250
Scan step size,0.0100000
No. of points, 497
Scan type,CONTINUOUS
2Theta,125.280
Time per step,0.50
[Scan points]
Angle,Intensity
60.1600,1.0
60.1700,0.0
60.1800,1.0
60.1900,0.0
60.2000,2.0
60.2100,6.0
60.2200,4.0
60.2300,3.0
60.2400,2.0
60.2500,2.0
60.2600,0.0
60.2700,2.0
60.2800,2.0
60.2900,1.0
60.3000,2.0
60.3100,1.0
60.3200,4.0
60.3300,0.0
60.3400,1.0
60.3500,4.0
60.3600,1.0
60.3700,2.0
60.3800,2.0
60.3900,4.0
60.4000,2.0
60.4100,1.0
60.4200,1.0
60.4300,2.0
60.4400,4.0
60.4500,0.0
60.4600,1.0
60.4700,1.0
60.4800,1.0
60.4900,3.0
60.5000,2.0
60.5100,2.0
60.5200,1.0
60.5300,2.0
60.5400,3.0
60.5500,3.0
60.5600,0.0
60.5700,4.0
60.5800,1.0
60.5900,1.0
60.6000,2.0
60.6100,2.0
60.6200,0.0
60.6300,0.0
60.6400,2.0
60.6500,2.0
60.6600,2.0
60.6700,2.0
60.6800,2.0
60.6900,1.0
60.7000,2.0
60.7100,1.0
60.7200,2.0
60.7300,1.0
60.7400,1.0
60.7500,3.0
60.7600,1.0
60.7700,1.0
60.7800,1.0
60.7900,2.0
60.8000,1.0
60.8100,4.0
60.8200,1.0
60.8300,3.0
60.8400,1.0
60.8500,3.0
60.8600,0.0
60.8700,0.0
60.8800,4.0
60.8900,1.0
60.9000,4.0
60.9100,2.0
60.9200,3.0
60.9300,1.0
60.9400,3.0
60.9500,1.0
60.9600,5.0
60.9700,0.0
60.9800,0.0
60.9900,1.0
61.0000,2.0
61.0100,0.0
61.0200,2.0
61.0300,0.0
61.0400,3.0
61.0500,1.0
61.0600,1.0
61.0700,6.0
61.0800,2.0
61.0900,1.0
61.1000,0.0
61.1100,1.0
61.1200,1.0
61.1300,0.0
61.1400,1.0
61.1500,1.0
61.1600,3.0
61.1700,0.0
61.1800,2.0
61.1900,5.0
61.2000,0.0
61.2100,0.0
61.2200,0.0
61.2300,3.0
61.2400,3.0
61.2500,2.0
61.2600,3.0
61.2700,1.0
61.2800,1.0
61.2900,2.0
61.3000,3.0
61.3100,2.0
61.3200,1.0
61.3300,4.0
61.3400,3.0
61.3500,5.0
61.3600,4.0
61.3700,1.0
61.3800,3.0
61.3900,2.0
61.4000,2.0
61.4100,3.0
61.4200,2.0
61.4300,1.0
61.4400,2.0
61.4500,6.0
61.4600,2.0
61.4700,4.0
61.4800,1.0
61.4900,7.0
61.5000,4.0
61.5100,1.0
61.5200,9.0
61.5300,4.0
61.5400,5.0
61.5500,3.0
61.5600,7.0
61.5700,1.0
61.5800,5.0
61.5900,2.0
61.6000,2.0
61.6100,0.0
61.6200,4.0
61.6300,2.0
61.6400,6.0
61.6500,5.0
61.6600,3.0
61.6700,1.0
61.6800,2.0
61.6900,4.0
61.7000,4.0
61.7100,5.0
61.7200,1.0
61.7300,4.0
61.7400,4.0
61.7500,2.0
61.7600,3.0
61.7700,4.0
61.7800,4.0
61.7900,8.0
61.8000,4.0
61.8100,4.0
61.8200,5.0
61.8300,6.0
61.8400,4.0
61.8500,3.0
61.8600,6.0
61.8700,7.0
61.8800,5.0
61.8900,3.0
61.9000,6.0
61.9100,2.0
61.9200,7.0
61.9300,3.0
61.9400,6.0
61.9500,10.0
61.9600,1.0
61.9700,14.0
61.9800,8.0
61.9900,4.0
62.0000,7.0
62.0100,10.0
62.0200,14.0
62.0300,8.0
62.0400,7.0
62.0500,8.0
62.0600,8.0
62.0700,11.0
62.0800,17.0
62.0900,12.0
62.1000,16.0
62.1100,19.0
62.1200,12.0
62.1300,12.0
62.1400,17.0
62.1500,17.0
62.1600,15.0
62.1700,24.0
62.1800,10.0
62.1900,22.0
62.2000,16.0
62.2100,26.0
62.2200,26.0
62.2300,35.0
62.2400,32.0
62.2500,28.0
62.2600,34.0
62.2700,40.0
62.2800,36.0
62.2900,50.0
62.3000,52.0
62.3100,31.0
62.3200,47.0
62.3300,38.0
62.3400,47.0
62.3500,52.0
62.3600,86.0
62.3700,69.0
62.3800,81.0
62.3900,91.0
62.4000,101.0
62.4100,100.0
62.4200,102.0
62.4300,133.0
62.4400,145.0
62.4500,135.0
62.4600,193.0
62.4700,182.0
62.4800,222.0
62.4900,235.0
62.5000,282.0
62.5100,272.0
62.5200,344.0
62.5300,368.0
62.5400,413.0
62.5500,472.0
62.5600,541.0
62.5700,531.0
62.5800,653.0
62.5900,711.0
62.6000,776.0
62.6100,839.0
62.6200,908.0
62.6300,1025.0
62.6400,1133.0
62.6500,1186.0
62.6600,1345.0
62.6700,1441.0
62.6800,1509.0
62.6900,1686.0
62.7000,1671.0
62.7100,1848.0
62.7200,2010.0
62.7300,2095.0
62.7400,2163.0
62.7500,2276.0
62.7600,2416.0
62.7700,2480.0
62.7800,2619.0
62.7900,2699.0
62.8000,2553.0
62.8100,3001.0
62.8200,2796.0
62.8300,2940.0
62.8400,3007.0
62.8500,2988.0
62.8600,3046.0
62.8700,3095.0
62.8800,2994.0
62.8900,2938.0
62.9000,2896.0
62.9100,2898.0
62.9200,2903.0
62.9300,2798.0
62.9400,2786.0
62.9500,2711.0
62.9600,2662.0
62.9700,2497.0
62.9800,2510.0
62.9900,2321.0
63.0000,2261.0
63.0100,2203.0
63.0200,2062.0
63.0300,1985.0
63.0400,1881.0
63.0500,1726.0
63.0600,1636.0
63.0700,1593.0
63.0800,1400.0
63.0900,1357.0
63.1000,1265.0
63.1100,1146.0
63.1200,1000.0
63.1300,968.0
63.1400,943.0
63.1500,775.0
63.1600,758.0
63.1700,675.0
63.1800,600.0
63.1900,579.0
63.2000,497.0
63.2100,452.0
63.2200,402.0
63.2300,385.0
63.2400,351.0
63.2500,293.0
63.2600,265.0
63.2700,245.0
63.2800,222.0
63.2900,194.0
63.3000,188.0
63.3100,155.0
63.3200,132.0
63.3300,123.0
63.3400,130.0
63.3500,92.0
63.3600,96.0
63.3700,92.0
63.3800,97.0
63.3900,63.0
63.4000,55.0
63.4100,68.0
63.4200,58.0
63.4300,51.0
63.4400,45.0
63.4500,61.0
63.4600,39.0
63.4700,43.0
63.4800,45.0
63.4900,30.0
63.5000,31.0
63.5100,27.0
63.5200,21.0
63.5300,20.0
63.5400,21.0
63.5500,25.0
63.5600,21.0
63.5700,24.0
63.5800,16.0
63.5900,26.0
63.6000,14.0
63.6100,18.0
63.6200,11.0
63.6300,10.0
63.6400,8.0
63.6500,6.0
63.6600,12.0
63.6700,12.0
63.6800,12.0
63.6900,14.0
63.7000,9.0
63.7100,9.0
63.7200,7.0
63.7300,11.0
63.7400,7.0
63.7500,13.0
63.7600,4.0
63.7700,8.0
63.7800,5.0
63.7900,2.0
63.8000,6.0
63.8100,5.0
63.8200,4.0
63.8300,8.0
63.8400,8.0
63.8500,7.0
63.8600,5.0
63.8700,5.0
63.8800,7.0
63.8900,8.0
63.9000,5.0
63.9100,7.0
63.9200,4.0
63.9300,5.0
63.9400,5.0
63.9500,3.0
63.9600,5.0
63.9700,7.0
63.9800,4.0
63.9900,4.0
64.0000,6.0
64.0100,8.0
64.0200,0.0
64.0300,0.0
64.0400,3.0
64.0500,4.0
64.0600,3.0
64.0700,4.0
