h,k,l,d(Angs),F(real),F(imag),|F|,2theta,I,M,Lambda, Phase
0,1,2,3.481074,-47.498772,-0.892827,47.5072,25.5686,58.91378,6,1,1
0,1,2,3.481074,-47.501199,-0.896812,47.5097,25.63158,29.30763,6,2,1
1,0,4,2.5516,-84.486818,-2.415961,84.5214,35.14203,94.29299,6,1,1
1,0,4,2.5516,-84.492652,-2.426698,84.5275,35.22992,46.89655,6,2,1
1,1,0,2.3803,62.623068,2.667427,62.6799,37.76315,44.27761,6,1,1
1,1,0,2.3803,62.628789,2.679236,62.6861,37.85808,22.02081,6,2,1
0,0,6,2.165667,-11.650039,1.657628,11.7674,41.67094,0.41798,2,1,1
0,0,6,2.165667,-11.647841,1.66488,11.7662,41.77657,0.20777,2,2,1
1,1,3,2.08605,-76.021349,-0.485819,76.0229,43.34007,95.85022,12,1,1
1,1,3,2.08605,-76.024197,-0.488084,76.0258,43.45037,47.65569,12,2,1
2,0,2,1.96487,-14.347618,-0.734032,14.3664,46.16228,1.48448,6,1,1
2,0,2,1.96487,-14.349116,-0.737276,14.368,46.28057,0.73813,6,2,1
0,2,4,1.740537,-96.299975,-2.574757,96.3344,52.535,49.7488,6,1,1
0,2,4,1.740537,-96.306741,-2.586234,96.3415,52.672,24.7309,6,2,1
1,1,6,1.601875,106.947422,2.513944,106.977,57.48472,100,12,1,1
1,1,6,1.601875,106.954639,2.525188,106.984,57.63698,49.70902,12,2,1
2,1,1,1.547187,17.852725,0.148946,17.8533,59.71825,2.55622,12,1,1
2,1,1,1.547187,17.853598,0.14964,17.8542,59.87763,1.27063,12,2,1
1,2,2,1.515297,-21.040488,-0.789087,21.0553,61.10754,3.37744,12,1,1
1,2,2,1.515297,-21.042307,-0.792589,21.0572,61.27143,1.67901,12,2,1
0,1,8,1.511201,45.014361,1.269261,45.0323,61.29097,7.67344,6,1,1
0,1,8,1.511201,45.017729,1.274921,45.0358,61.45547,3.81456,6,2,1
2,1,4,1.404988,-80.015454,-2.519701,80.0551,66.49521,40.61548,12,1,1
2,1,4,1.404988,-80.021896,-2.530922,80.0619,66.67724,20.19381,12,2,1
3,0,0,1.374267,144.310604,3.475058,144.352,68.18277,62.64278,6,1,1
3,0,0,1.374267,144.321059,3.490632,144.363,68.37071,31.14773,6,2,1
1,2,5,1.336436,15.277455,0.148946,15.2782,70.39282,1.3149,12,1,1
1,2,5,1.336436,15.278328,0.14964,15.2791,70.58868,0.65387,12,2,1
