h,k,l,d,(Angstrom),F(real),F(imag),|F|,2theta,I,M,ID
1,0,0,2.788602,-29.493291,-0.704953,29.5017,32.0707,100,6,1,1
1,0,0,2.788602,-29.50483,-0.707779,29.5133,32.15047,49.77147,6,2,1
0,0,-2,2.6,45.929932,12.943758,47.719,34.46716,37.29218,1,1,1
0,0,2,2.6,46.058132,-10.252147,47.1854,34.46716,36.46283,1,1,1
0,0,-2,2.6,45.952334,12.949487,47.7421,34.55326,18.5629,1,2,1
0,0,2,2.6,46.081132,-10.24717,47.2067,34.55326,18.14893,1,2,1
1,0,-1,2.457528,5.744571,32.299441,32.8063,36.53376,93.10072,6,1,1
1,0,1,2.457528,-7.997069,32.220935,33.1985,36.53376,95.34012,6,1,1
1,0,-1,2.457528,5.740349,32.319054,32.8249,36.62537,46.34728,6,2,1
1,0,1,2.457528,-8.001751,32.240182,33.2183,36.62537,47.46499,6,2,1
1,0,2,1.90166,-20.499288,3.984269,20.8829,47.79043,20.69182,6,1,1
1,0,-2,1.90166,-20.435187,-5.330075,21.1189,47.79043,21.16209,6,1,1
1,0,2,1.90166,-20.510788,3.981781,20.8937,47.91342,10.29638,6,2,1
1,0,-2,1.90166,-20.446389,-5.332939,21.1304,47.91342,10.53101,6,2,1
1,1,0,1.61,45.600427,1.409906,45.6222,57.16778,65.70941,6,1,1
1,1,0,1.61,45.623504,1.415557,45.6455,57.31905,32.69223,6,2,1
1,0,-3,1.472123,3.26412,35.357396,35.5077,63.10174,31.92488,6,1,1
1,0,3,1.472123,-5.67363,35.27889,35.7322,63.10174,32.32977,6,1,1
1,0,-3,1.472123,3.259532,35.377469,35.5273,63.27222,15.88582,6,2,1
1,0,3,1.472123,-5.678679,35.298597,35.7525,63.27222,16.0878,6,2,1
2,0,0,1.394301,-20.622659,-0.704953,20.6347,67.07198,9.45374,6,1,1
2,0,0,1.394301,-20.634197,-0.707779,20.6463,67.25602,4.70498,6,2,1
1,1,2,1.368815,33.984668,-5.403913,34.4116,68.49198,25.16617,6,1,1
1,1,-2,1.368815,33.856468,8.095524,34.8109,68.49198,25.75354,6,1,1
1,1,2,1.368815,34.007668,-5.398936,34.4336,68.68102,12.52762,6,2,1
1,1,-2,1.368815,33.87887,8.101253,34.834,68.68102,12.8207,6,2,1
2,0,-1,1.346729,-2.934106,-25.017118,25.1886,69.77626,12.98045,6,1,1
2,0,1,1.346729,5.186603,-24.938612,25.4722,69.77626,13.27445,6,1,1
2,0,-1,1.346729,-2.929884,-25.036731,25.2076,69.96989,6.46365,6,2,1
2,0,1,1.346729,5.191286,-24.957859,25.492,69.96989,6.61036,6,2,1
0,0,4,1.3,26.295738,1.281706,26.327,72.67432,2.18075,1,1,1
0,0,-4,1.3,26.295738,1.281706,26.327,72.67432,2.18075,1,1,1
0,0,4,1.3,26.318064,1.286759,26.3495,72.87859,1.08638,1,2,1
0,0,-4,1.3,26.318064,1.286759,26.3495,72.87859,1.08638,1,2,1
2,0,-2,1.228764,-15.605663,-3.666576,16.0306,77.64166,4.30472,6,1,1
2,0,2,1.228764,-15.669763,2.32077,15.8407,77.64166,4.20332,6,1,1
2,0,-2,1.228764,-15.616864,-3.66944,16.0422,77.86514,2.14511,6,2,1
2,0,2,1.228764,-15.681263,2.318282,15.8517,77.86514,2.09448,6,2,1
1,0,-4,1.178256,-12.252565,-0.640853,12.2693,81.65135,2.33083,6,1,1
1,0,4,1.178256,-12.252565,-0.640853,12.2693,81.65135,2.33083,6,1,1
1,0,-4,1.178256,-12.263728,-0.64338,12.2806,81.89134,1.16268,6,2,1
1,0,4,1.178256,-12.263728,-0.64338,12.2806,81.89134,1.16268,6,2,1
2,0,3,1.086428,4.399112,-27.524191,27.8735,90.31006,10.74847,6,1,1
2,0,-3,1.086428,-1.989602,-27.602698,27.6743,90.31006,10.59538,6,1,1
2,0,3,1.086428,4.404161,-27.543898,27.8938,90.58944,5.36966,6,2,1
2,0,-3,1.086428,-1.985013,-27.62277,27.694,90.58944,5.29302,6,2,1
2,1,0,1.053992,-16.201,-0.704953,16.2163,93.91318,7.10799,12,1,1
2,1,0,1.053992,-16.212539,-0.707779,16.228,94.21076,3.55441,12,2,1
2,1,-1,1.032987,1.896356,20.257745,20.3463,96.43824,11.09719,12,1,1
2,1,1,1.032987,-4.148853,20.179239,20.6013,96.43824,11.37711,12,1,1
2,1,-1,1.032987,1.892133,20.277358,20.3654,96.74932,5.55588,12,2,1
2,1,1,1.032987,-4.153536,20.198485,20.6211,96.74932,5.69625,12,2,1
1,1,4,1.011442,21.466598,1.281706,21.5048,99.20785,6.18826,6,1,1
1,1,-4,1.011442,21.466598,1.281706,21.5048,99.20785,6.18826,6,1,1
1,1,4,1.011442,21.488924,1.286759,21.5274,99.53454,3.10158,6,2,1
1,1,-4,1.011442,21.488924,1.286759,21.5274,99.53454,3.10158,6,2,1
2,1,2,0.976784,-12.727926,1.652255,12.8347,104.11058,4.47635,12,1,1
2,1,-2,0.976784,-12.663825,-2.998061,13.0139,104.11058,4.60219,12,1,1
1,0,-5,0.974439,-4.045335,24.73757,25.0662,104.46506,8.55359,6,1,1
1,0,5,0.974439,1.635825,24.816076,24.8699,104.46506,8.4202,6,1,1
2,1,2,0.976784,-12.739426,1.649767,12.8458,104.46722,2.24647,12,2,1
2,1,-2,0.976784,-12.675027,-3.000925,13.0254,104.46722,2.30974,12,2,1
1,0,-5,0.974439,-4.050383,24.757277,25.0864,104.82399,4.29271,6,2,1
1,0,5,0.974439,1.631236,24.836149,24.8897,104.82399,4.22564,6,2,1
2,0,4,0.95083,-10.088218,-0.640853,10.1086,108.21737,1.42973,6,1,1
2,0,-4,0.95083,-10.088218,-0.640853,10.1086,108.21737,1.42973,6,1,1
2,0,4,0.95083,-10.09938,-0.64338,10.1199,108.60177,0.71895,6,2,1
2,0,-4,0.95083,-10.09938,-0.64338,10.1199,108.60177,0.71895,6,2,1
3,0,0,0.929534,28.538285,1.409906,28.5731,111.92902,11.86978,6,1,1
3,0,0,0.929534,28.561362,1.415557,28.5964,112.34102,5.97379,6,2,1
3,0,1,0.91503,0,0,1.11576E-15,114.66708,0,6,1,1
