[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Monochromator used,NO
Generator voltage, 10
Tube current, 10
File date and time,21-May-2024 11:29
Unit cell,
h k l, 0 0 0
Scan axis,2Theta-Omega
Scan range,30.0100,129.9900
Scan step size,0.0200000
Omega offset,0.0000
No. of points, 4999
Scan type,CONTINUOUS
Time per step,0.50
[Scan points]
Angle,Intensity
30.0200,6.0
30.0400,4.0
30.0600,3.0
30.0800,4.0
30.1000,3.0
30.1200,4.0
30.1400,2.0
30.1600,6.0
30.1800,2.0
30.2000,3.0
30.2200,6.0
30.2400,8.0
30.2600,2.0
30.2800,4.0
30.3000,2.0
30.3200,1.0
30.3400,3.0
30.3600,10.0
30.3800,1.0
30.4000,2.0
30.4200,4.0
30.4400,2.0
30.4600,4.0
30.4800,3.0
30.5000,5.0
30.5200,4.0
30.5400,1.0
30.5600,3.0
30.5800,4.0
30.6000,9.0
30.6200,4.0
30.6400,5.0
30.6600,8.0
30.6800,12.0
30.7000,11.0
30.7200,11.0
30.7400,13.0
30.7600,12.0
30.7800,10.0
30.8000,12.0
30.8200,12.0
30.8400,6.0
30.8600,13.0
30.8800,14.0
30.9000,28.0
30.9200,39.0
30.9400,65.0
30.9600,86.0
30.9800,112.0
31.0000,130.0
31.0200,156.0
31.0400,144.0
31.0600,118.0
31.0800,73.0
31.1000,44.0
31.1200,38.0
31.1400,19.0
31.1600,18.0
31.1800,13.0
31.2000,14.0
31.2200,9.0
31.2400,6.0
31.2600,12.0
31.2800,9.0
31.3000,5.0
31.3200,7.0
31.3400,7.0
31.3600,3.0
31.3800,9.0
31.4000,8.0
31.4200,12.0
31.4400,12.0
31.4600,11.0
31.4800,11.0
31.5000,9.0
31.5200,7.0
31.5400,7.0
31.5600,7.0
31.5800,15.0
31.6000,6.0
31.6200,5.0
31.6400,5.0
31.6600,14.0
31.6800,8.0
31.7000,10.0
31.7200,12.0
31.7400,8.0
31.7600,10.0
31.7800,7.0
31.8000,8.0
31.8200,15.0
31.8400,7.0
31.8600,7.0
31.8800,12.0
31.9000,10.0
31.9200,9.0
31.9400,9.0
31.9600,14.0
31.9800,5.0
32.0000,8.0
32.0200,14.0
32.0400,10.0
32.0600,13.0
32.0800,3.0
32.1000,11.0
32.1200,15.0
32.1400,14.0
32.1600,10.0
32.1800,13.0
32.2000,20.0
32.2200,9.0
32.2400,9.0
32.2600,12.0
32.2800,11.0
32.3000,21.0
32.3200,12.0
32.3400,12.0
32.3600,8.0
32.3800,20.0
32.4000,9.0
32.4200,19.0
32.4400,21.0
32.4600,15.0
32.4800,18.0
32.5000,13.0
32.5200,21.0
32.5400,18.0
32.5600,24.0
32.5800,24.0
32.6000,21.0
32.6200,22.0
32.6400,23.0
32.6600,30.0
32.6800,29.0
32.7000,26.0
32.7200,30.0
32.7400,32.0
32.7600,33.0
32.7800,43.0
32.8000,51.0
32.8200,48.0
32.8400,82.0
32.8600,83.0
32.8800,112.0
32.9000,128.0
32.9200,137.0
32.9400,140.0
32.9600,175.0
32.9800,151.0
33.0000,96.0
33.0200,63.0
33.0400,72.0
33.0600,58.0
33.0800,69.0
33.1000,64.0
33.1200,60.0
33.1400,64.0
33.1600,86.0
33.1800,92.0
33.2000,87.0
33.2200,56.0
33.2400,77.0
33.2600,98.0
33.2800,93.0
33.3000,70.0
33.3200,98.0
33.3400,97.0
33.3600,83.0
33.3800,84.0
33.4000,87.0
33.4200,122.0
33.4400,117.0
33.4600,126.0
33.4800,130.0
33.5000,144.0
33.5200,160.0
33.5400,165.0
33.5600,175.0
33.5800,201.0
33.6000,207.0
33.6200,220.0
33.6400,260.0
33.6600,229.0
33.6800,259.0
33.7000,271.0
33.7200,311.0
33.7400,349.0
33.7600,318.0
33.7800,331.0
33.8000,388.0
33.8200,413.0
33.8400,423.0
33.8600,455.0
33.8800,522.0
33.9000,542.0
33.9200,648.0
33.9400,699.0
33.9600,749.0
33.9800,865.0
34.0000,970.0
34.0200,1129.0
34.0400,1315.0
34.0600,1489.0
34.0800,1798.0
34.1000,2110.0
34.1200,2602.0
34.1400,2966.0
34.1600,3538.0
34.1800,4189.0
34.2000,4854.0
34.2200,6006.0
34.2400,7183.0
34.2600,8760.0
34.2800,11223.0
34.3000,15416.0
34.3200,23600.0
34.3400,38123.0
34.3600,56310.0
34.3800,77936.0
34.4000,101150.0
34.4200,119401.0
34.4400,124814.0
34.4600,115318.0
34.4800,97388.0
34.5000,82016.0
34.5200,70126.0
34.5400,56346.0
34.5600,39838.0
34.5800,24380.0
34.6000,13752.0
34.6200,7788.0
34.6400,4476.0
34.6600,2914.0
34.6800,2123.0
34.7000,1716.0
34.7200,1384.0
34.7400,1207.0
34.7600,1077.0
34.7800,949.0
34.8000,858.0
34.8200,770.0
34.8400,691.0
34.8600,669.0
34.8800,597.0
34.9000,601.0
34.9200,543.0
34.9400,512.0
34.9600,467.0
34.9800,455.0
35.0000,449.0
35.0200,377.0
35.0400,390.0
35.0600,381.0
35.0800,328.0
35.1000,330.0
35.1200,307.0
35.1400,289.0
35.1600,248.0
35.1800,263.0
35.2000,219.0
35.2200,202.0
35.2400,200.0
35.2600,187.0
35.2800,161.0
35.3000,155.0
35.3200,137.0
35.3400,165.0
35.3600,119.0
35.3800,128.0
35.4000,113.0
35.4200,86.0
35.4400,97.0
35.4600,83.0
35.4800,77.0
35.5000,71.0
35.5200,88.0
35.5400,68.0
35.5600,59.0
35.5800,58.0
35.6000,57.0
35.6200,39.0
35.6400,42.0
35.6600,45.0
35.6800,50.0
35.7000,37.0
35.7200,42.0
35.7400,55.0
35.7600,41.0
35.7800,29.0
35.8000,21.0
35.8200,31.0
35.8400,25.0
35.8600,32.0
35.8800,33.0
35.9000,27.0
35.9200,36.0
35.9400,30.0
35.9600,35.0
35.9800,27.0
36.0000,26.0
36.0200,28.0
36.0400,38.0
36.0600,20.0
36.0800,31.0
36.1000,36.0
36.1200,38.0
36.1400,27.0
36.1600,27.0
36.1800,26.0
36.2000,36.0
36.2200,22.0
36.2400,30.0
36.2600,29.0
36.2800,34.0
36.3000,36.0
36.3200,24.0
36.3400,33.0
36.3600,27.0
36.3800,25.0
36.4000,21.0
36.4200,21.0
36.4400,24.0
36.4600,11.0
36.4800,16.0
36.5000,18.0
36.5200,15.0
36.5400,8.0
36.5600,14.0
36.5800,21.0
36.6000,19.0
36.6200,11.0
36.6400,16.0
36.6600,11.0
36.6800,15.0
36.7000,16.0
36.7200,22.0
36.7400,11.0
36.7600,15.0
36.7800,15.0
36.8000,19.0
36.8200,17.0
36.8400,14.0
36.8600,18.0
36.8800,18.0
36.9000,16.0
36.9200,17.0
36.9400,20.0
36.9600,21.0
36.9800,20.0
37.0000,13.0
37.0200,14.0
37.0400,18.0
37.0600,14.0
37.0800,22.0
37.1000,25.0
37.1200,22.0
37.1400,22.0
37.1600,16.0
37.1800,17.0
37.2000,29.0
37.2200,29.0
37.2400,28.0
37.2600,33.0
37.2800,43.0
37.3000,35.0
37.3200,38.0
37.3400,43.0
37.3600,52.0
37.3800,48.0
37.4000,62.0
37.4200,75.0
37.4400,77.0
37.4600,177.0
37.4800,286.0
37.5000,449.0
37.5200,608.0
37.5400,710.0
37.5600,779.0
37.5800,864.0
37.6000,954.0
37.6200,1169.0
37.6400,1402.0
37.6600,2444.0
37.6800,6635.0
37.7000,11401.0
37.7200,11703.0
37.7400,9981.0
37.7600,6128.0
37.7800,5525.0
37.8000,6753.0
37.8200,6570.0
