[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Monochromator used,NO
Generator voltage, 10
Tube current, 10
File date and time,21-May-2024 13:03
Unit cell,
h k l, 0 0 0
Scan axis,2Theta-Omega
Scan range,20.0100,129.9900
Scan step size,0.0200000
Omega offset,0.0000
No. of points, 5499
Scan type,CONTINUOUS
Time per step,0.50
[Scan points]
Angle,Intensity
20.0200,2.0
20.0400,4.0
20.0600,10.0
20.0800,7.0
20.1000,2.0
20.1200,0.0
20.1400,1.0
20.1600,4.0
20.1800,2.0
20.2000,4.0
20.2200,2.0
20.2400,1.0
20.2600,5.0
20.2800,4.0
20.3000,2.0
20.3200,5.0
20.3400,3.0
20.3600,1.0
20.3800,1.0
20.4000,0.0
20.4200,4.0
20.4400,2.0
20.4600,3.0
20.4800,0.0
20.5000,2.0
20.5200,0.0
20.5400,0.0
20.5600,3.0
20.5800,9.0
20.6000,8.0
20.6200,2.0
20.6400,2.0
20.6600,2.0
20.6800,4.0
20.7000,9.0
20.7200,1.0
20.7400,3.0
20.7600,2.0
20.7800,1.0
20.8000,3.0
20.8200,3.0
20.8400,1.0
20.8600,2.0
20.8800,6.0
20.9000,3.0
20.9200,2.0
20.9400,2.0
20.9600,1.0
20.9800,3.0
21.0000,3.0
21.0200,1.0
21.0400,3.0
21.0600,2.0
21.0800,5.0
21.1000,1.0
21.1200,2.0
21.1400,3.0
21.1600,5.0
21.1800,6.0
21.2000,4.0
21.2200,7.0
21.2400,12.0
21.2600,7.0
21.2800,6.0
21.3000,5.0
21.3200,2.0
21.3400,5.0
21.3600,3.0
21.3800,2.0
21.4000,4.0
21.4200,4.0
21.4400,1.0
21.4600,7.0
21.4800,7.0
21.5000,3.0
21.5200,4.0
21.5400,7.0
21.5600,3.0
21.5800,2.0
21.6000,5.0
21.6200,2.0
21.6400,4.0
21.6600,5.0
21.6800,5.0
21.7000,3.0
21.7200,3.0
21.7400,6.0
21.7600,5.0
21.7800,8.0
21.8000,4.0
21.8200,3.0
21.8400,7.0
21.8600,2.0
21.8800,3.0
21.9000,2.0
21.9200,7.0
21.9400,7.0
21.9600,3.0
21.9800,3.0
22.0000,5.0
22.0200,3.0
22.0400,1.0
22.0600,3.0
22.0800,0.0
22.1000,1.0
22.1200,2.0
22.1400,7.0
22.1600,1.0
22.1800,3.0
22.2000,5.0
22.2200,6.0
22.2400,2.0
22.2600,6.0
22.2800,3.0
22.3000,2.0
22.3200,4.0
22.3400,3.0
22.3600,3.0
22.3800,3.0
22.4000,4.0
22.4200,3.0
22.4400,3.0
22.4600,0.0
22.4800,4.0
22.5000,3.0
22.5200,3.0
22.5400,6.0
22.5600,4.0
22.5800,3.0
22.6000,2.0
22.6200,6.0
22.6400,7.0
22.6600,7.0
22.6800,5.0
22.7000,3.0
22.7200,7.0
22.7400,3.0
22.7600,5.0
22.7800,4.0
22.8000,3.0
22.8200,3.0
22.8400,2.0
22.8600,7.0
22.8800,10.0
22.9000,10.0
22.9200,13.0
22.9400,20.0
22.9600,9.0
22.9800,14.0
23.0000,20.0
23.0200,49.0
23.0400,74.0
23.0600,154.0
23.0800,211.0
23.1000,270.0
23.1200,212.0
23.1400,188.0
23.1600,102.0
23.1800,53.0
23.2000,28.0
23.2200,16.0
23.2400,18.0
23.2600,18.0
23.2800,12.0
23.3000,13.0
23.3200,15.0
23.3400,19.0
23.3600,9.0
23.3800,9.0
23.4000,13.0
23.4200,11.0
23.4400,11.0
23.4600,11.0
23.4800,12.0
23.5000,7.0
23.5200,13.0
23.5400,12.0
23.5600,16.0
23.5800,13.0
23.6000,9.0
23.6200,19.0
23.6400,9.0
23.6600,9.0
23.6800,18.0
23.7000,15.0
23.7200,13.0
23.7400,11.0
23.7600,12.0
23.7800,17.0
23.8000,10.0
23.8200,9.0
23.8400,14.0
23.8600,14.0
23.8800,13.0
23.9000,15.0
23.9200,13.0
23.9400,22.0
23.9600,15.0
23.9800,21.0
24.0000,17.0
24.0200,18.0
24.0400,16.0
24.0600,20.0
24.0800,16.0
24.1000,19.0
24.1200,19.0
24.1400,17.0
24.1600,16.0
24.1800,16.0
24.2000,16.0
24.2200,24.0
24.2400,20.0
24.2600,16.0
24.2800,20.0
24.3000,24.0
24.3200,27.0
24.3400,34.0
24.3600,40.0
24.3800,58.0
24.4000,46.0
24.4200,62.0
24.4400,121.0
24.4600,159.0
24.4800,252.0
24.5000,275.0
24.5200,276.0
24.5400,235.0
24.5600,167.0
24.5800,93.0
24.6000,82.0
24.6200,77.0
24.6400,78.0
24.6600,104.0
24.6800,106.0
24.7000,117.0
24.7200,115.0
24.7400,127.0
24.7600,97.0
24.7800,112.0
24.8000,109.0
24.8200,97.0
24.8400,130.0
24.8600,151.0
24.8800,131.0
24.9000,171.0
24.9200,180.0
24.9400,229.0
24.9600,249.0
24.9800,275.0
25.0000,262.0
25.0200,328.0
25.0400,371.0
25.0600,420.0
25.0800,454.0
25.1000,501.0
25.1200,585.0
25.1400,586.0
25.1600,656.0
25.1800,739.0
25.2000,805.0
25.2200,885.0
25.2400,908.0
25.2600,991.0
25.2800,1093.0
25.3000,1092.0
25.3200,1192.0
25.3400,1316.0
25.3600,1444.0
25.3800,1631.0
25.4000,2017.0
25.4200,2683.0
25.4400,3535.0
25.4600,4758.0
25.4800,6705.0
25.5000,11621.0
25.5200,30503.0
25.5400,54362.0
25.5600,93121.0
25.5800,152811.0
25.6000,189810.0
25.6200,200412.0
25.6400,177106.0
25.6600,142822.0
25.6800,113202.0
25.7000,74196.0
25.7200,42052.0
25.7400,22079.0
25.7600,7978.0
25.7800,2949.0
25.8000,1997.0
25.8200,1467.0
25.8400,1104.0
25.8600,920.0
25.8800,777.0
25.9000,659.0
25.9200,593.0
25.9400,497.0
25.9600,413.0
25.9800,381.0
26.0000,301.0
26.0200,284.0
26.0400,264.0
26.0600,207.0
26.0800,204.0
26.1000,181.0
26.1200,158.0
26.1400,122.0
26.1600,122.0
26.1800,98.0
26.2000,97.0
26.2200,97.0
26.2400,85.0
26.2600,48.0
26.2800,79.0
26.3000,51.0
26.3200,52.0
26.3400,48.0
26.3600,33.0
26.3800,42.0
26.4000,37.0
26.4200,38.0
26.4400,41.0
26.4600,33.0
26.4800,25.0
26.5000,35.0
26.5200,29.0
26.5400,22.0
26.5600,19.0
26.5800,23.0
26.6000,24.0
26.6200,19.0
26.6400,25.0
26.6600,21.0
26.6800,23.0
26.7000,16.0
26.7200,16.0
26.7400,16.0
26.7600,12.0
26.7800,17.0
26.8000,13.0
26.8200,17.0
26.8400,15.0
26.8600,13.0
26.8800,10.0
26.9000,12.0
26.9200,9.0
26.9400,13.0
26.9600,8.0
26.9800,19.0
27.0000,11.0
27.0200,11.0
27.0400,6.0
27.0600,12.0
27.0800,8.0
27.1000,7.0
27.1200,2.0
27.1400,13.0
27.1600,10.0
27.1800,10.0
27.2000,5.0
27.2200,6.0
27.2400,7.0
27.2600,6.0
27.2800,6.0
27.3000,8.0
27.3200,5.0
27.3400,9.0
27.3600,13.0
27.3800,4.0
27.4000,5.0
27.4200,9.0
27.4400,5.0
27.4600,8.0
27.4800,8.0
27.5000,2.0
27.5200,6.0
27.5400,5.0
27.5600,8.0
27.5800,8.0
27.6000,3.0
27.6200,8.0
27.6400,2.0
27.6600,5.0
27.6800,3.0
27.7000,10.0
27.7200,5.0
27.7400,5.0
27.7600,6.0
27.7800,5.0
27.8000,3.0
27.8200,4.0
27.8400,8.0
27.8600,4.0
