[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Monochromator used,NO
Generator voltage, 10
Tube current, 10
File date and time,21-May-2024 14:35
Unit cell,
h k l, 0 0 0
Scan axis,2Theta-Omega
Scan range,10.0100,89.9900
Scan step size,0.0200000
Omega offset,0.0000
No. of points, 3999
Scan type,CONTINUOUS
Time per step,0.50
[Scan points]
Angle,Intensity
10.0200,12.0
10.0400,12.0
10.0600,9.0
10.0800,12.0
10.1000,9.0
10.1200,12.0
10.1400,16.0
10.1600,11.0
10.1800,11.0
10.2000,9.0
10.2200,17.0
10.2400,14.0
10.2600,11.0
10.2800,9.0
10.3000,9.0
10.3200,13.0
10.3400,11.0
10.3600,12.0
10.3800,10.0
10.4000,17.0
10.4200,15.0
10.4400,13.0
10.4600,15.0
10.4800,12.0
10.5000,10.0
10.5200,7.0
10.5400,11.0
10.5600,16.0
10.5800,18.0
10.6000,9.0
10.6200,12.0
10.6400,7.0
10.6600,13.0
10.6800,18.0
10.7000,8.0
10.7200,19.0
10.7400,13.0
10.7600,11.0
10.7800,12.0
10.8000,16.0
10.8200,12.0
10.8400,13.0
10.8600,15.0
10.8800,10.0
10.9000,10.0
10.9200,14.0
10.9400,11.0
10.9600,11.0
10.9800,10.0
11.0000,10.0
11.0200,16.0
11.0400,16.0
11.0600,18.0
11.0800,8.0
11.1000,12.0
11.1200,15.0
11.1400,17.0
11.1600,15.0
11.1800,13.0
11.2000,7.0
11.2200,8.0
11.2400,8.0
11.2600,18.0
11.2800,12.0
11.3000,13.0
11.3200,13.0
11.3400,14.0
11.3600,18.0
11.3800,14.0
11.4000,10.0
11.4200,12.0
11.4400,10.0
11.4600,19.0
11.4800,11.0
11.5000,10.0
11.5200,11.0
11.5400,15.0
11.5600,17.0
11.5800,9.0
11.6000,10.0
11.6200,11.0
11.6400,14.0
11.6600,10.0
11.6800,16.0
11.7000,11.0
11.7200,9.0
11.7400,11.0
11.7600,7.0
11.7800,7.0
11.8000,6.0
11.8200,13.0
11.8400,15.0
11.8600,11.0
11.8800,11.0
11.9000,22.0
11.9200,8.0
11.9400,12.0
11.9600,10.0
11.9800,10.0
12.0000,10.0
12.0200,14.0
12.0400,11.0
12.0600,15.0
12.0800,14.0
12.1000,5.0
12.1200,10.0
12.1400,13.0
12.1600,8.0
12.1800,10.0
12.2000,9.0
12.2200,9.0
12.2400,12.0
12.2600,16.0
12.2800,11.0
12.3000,10.0
12.3200,13.0
12.3400,11.0
12.3600,10.0
12.3800,6.0
12.4000,12.0
12.4200,14.0
12.4400,6.0
12.4600,11.0
12.4800,11.0
12.5000,10.0
12.5200,10.0
12.5400,12.0
12.5600,12.0
12.5800,8.0
12.6000,8.0
12.6200,10.0
12.6400,13.0
12.6600,14.0
12.6800,11.0
12.7000,13.0
12.7200,13.0
12.7400,13.0
12.7600,11.0
12.7800,16.0
12.8000,11.0
12.8200,11.0
12.8400,8.0
12.8600,8.0
12.8800,10.0
12.9000,6.0
12.9200,12.0
12.9400,12.0
12.9600,8.0
12.9800,9.0
13.0000,13.0
13.0200,9.0
13.0400,9.0
13.0600,13.0
13.0800,13.0
13.1000,10.0
13.1200,9.0
13.1400,9.0
13.1600,12.0
13.1800,8.0
13.2000,10.0
13.2200,11.0
13.2400,6.0
13.2600,15.0
13.2800,11.0
13.3000,6.0
13.3200,10.0
13.3400,10.0
13.3600,10.0
13.3800,9.0
13.4000,8.0
13.4200,9.0
13.4400,15.0
13.4600,7.0
13.4800,13.0
13.5000,9.0
13.5200,10.0
13.5400,15.0
13.5600,17.0
13.5800,9.0
13.6000,11.0
13.6200,7.0
13.6400,9.0
13.6600,13.0
13.6800,13.0
13.7000,11.0
13.7200,16.0
13.7400,11.0
13.7600,12.0
13.7800,11.0
13.8000,14.0
13.8200,9.0
13.8400,9.0
13.8600,6.0
13.8800,9.0
13.9000,15.0
13.9200,6.0
13.9400,7.0
13.9600,13.0
13.9800,6.0
14.0000,17.0
14.0200,7.0
14.0400,9.0
14.0600,10.0
14.0800,9.0
14.1000,11.0
14.1200,13.0
14.1400,10.0
14.1600,12.0
14.1800,11.0
14.2000,8.0
14.2200,9.0
14.2400,9.0
14.2600,5.0
14.2800,6.0
14.3000,12.0
14.3200,8.0
14.3400,7.0
14.3600,9.0
14.3800,7.0
14.4000,12.0
14.4200,6.0
14.4400,9.0
14.4600,9.0
14.4800,10.0
14.5000,7.0
14.5200,10.0
14.5400,9.0
14.5600,5.0
14.5800,10.0
14.6000,10.0
14.6200,11.0
14.6400,9.0
14.6600,9.0
14.6800,7.0
14.7000,11.0
14.7200,9.0
14.7400,11.0
14.7600,12.0
14.7800,12.0
14.8000,8.0
14.8200,11.0
14.8400,9.0
14.8600,12.0
14.8800,7.0
14.9000,9.0
14.9200,4.0
14.9400,9.0
14.9600,5.0
14.9800,7.0
15.0000,4.0
15.0200,8.0
15.0400,5.0
15.0600,8.0
15.0800,12.0
15.1000,13.0
15.1200,16.0
15.1400,12.0
15.1600,15.0
15.1800,11.0
15.2000,12.0
15.2200,13.0
15.2400,11.0
15.2600,17.0
15.2800,12.0
15.3000,12.0
15.3200,13.0
15.3400,9.0
15.3600,8.0
15.3800,11.0
15.4000,8.0
15.4200,7.0
15.4400,12.0
15.4600,8.0
15.4800,10.0
15.5000,6.0
15.5200,8.0
15.5400,4.0
15.5600,7.0
15.5800,4.0
15.6000,5.0
15.6200,8.0
15.6400,7.0
15.6600,5.0
15.6800,13.0
15.7000,8.0
15.7200,10.0
15.7400,10.0
15.7600,11.0
15.7800,4.0
15.8000,6.0
15.8200,13.0
15.8400,5.0
15.8600,5.0
15.8800,9.0
15.9000,15.0
15.9200,9.0
15.9400,15.0
15.9600,10.0
15.9800,11.0
16.0000,4.0
16.0200,5.0
16.0400,8.0
16.0600,12.0
16.0800,9.0
16.1000,4.0
16.1200,8.0
16.1400,4.0
16.1600,11.0
16.1800,5.0
16.2000,8.0
16.2200,7.0
16.2400,8.0
16.2600,5.0
16.2800,6.0
16.3000,4.0
16.3200,5.0
16.3400,8.0
16.3600,10.0
16.3800,9.0
16.4000,1.0
16.4200,12.0
16.4400,9.0
16.4600,9.0
16.4800,14.0
16.5000,8.0
16.5200,5.0
16.5400,6.0
16.5600,5.0
16.5800,6.0
16.6000,5.0
16.6200,8.0
16.6400,11.0
16.6600,6.0
16.6800,6.0
16.7000,8.0
16.7200,11.0
16.7400,5.0
16.7600,10.0
16.7800,6.0
16.8000,4.0
16.8200,9.0
16.8400,10.0
16.8600,8.0
16.8800,3.0
16.9000,9.0
16.9200,5.0
16.9400,2.0
16.9600,6.0
16.9800,7.0
17.0000,4.0
17.0200,6.0
17.0400,15.0
17.0600,10.0
17.0800,6.0
17.1000,5.0
17.1200,9.0
17.1400,9.0
17.1600,7.0
17.1800,2.0
17.2000,7.0
17.2200,8.0
17.2400,7.0
17.2600,8.0
17.2800,12.0
17.3000,8.0
17.3200,11.0
17.3400,8.0
17.3600,6.0
17.3800,9.0
17.4000,13.0
17.4200,12.0
17.4400,7.0
17.4600,8.0
17.4800,8.0
17.5000,15.0
17.5200,10.0
17.5400,10.0
17.5600,8.0
17.5800,14.0
17.6000,12.0
17.6200,11.0
17.6400,6.0
17.6600,11.0
17.6800,11.0
17.7000,7.0
17.7200,7.0
17.7400,13.0
17.7600,14.0
17.7800,15.0
17.8000,17.0
17.8200,15.0
17.8400,16.0
17.8600,14.0
17.8800,19.0
17.9000,18.0
17.9200,22.0
